Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
F,Rodions Kurucs,1026,2020_21,0.5,1.9,0.2,1.4,0.3,0.5,0.1,0.2,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6
F,Rodions Kurucs,1027,2020_21,1.0,1.6,0.6,0.8,0.4,0.8,0.4,0.4,0.6,1.2,1.8,0.8,0.6,0.0,0.8,1.6
F,Kyle Kuzma,1028,2020_21,4.9,11.1,2.0,5.6,2.9,5.5,1.0,1.4,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8
F,Anthony Lamb,1029,2020_21,1.9,4.9,1.0,3.0,1.0,2.0,0.8,0.9,1.1,1.8,2.9,1.0,0.3,0.2,0.8,1.4
G,Jeremy Lamb,1030,2020_21,3.3,7.7,1.4,3.6,1.9,4.1,2.0,2.1,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2.0
G,Romeo Langford,1031,2020_21,1.2,3.3,0.3,1.0,0.9,2.3,0.5,0.7,0.7,1.3,1.9,0.7,0.3,0.3,0.6,1.3
G,Zach LaVine,1032,2020_21,9.8,19.4,3.4,8.2,6.4,11.1,4.4,5.1,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4
F,Jake Layman,1033,2020_21,2.0,4.1,0.5,1.7,1.5,2.4,0.6,0.8,0.3,1.2,1.5,0.6,0.6,0.4,0.6,1.0
F,T.J. Leaf,1034,2020_21,0.7,1.4,0.0,0.0,0.7,1.4,0.3,0.3,0.0,0.7,0.7,0.1,0.3,0.1,0.3,0.1
G,Damion Lee,1036,2020_21,2.2,4.8,1.4,3.4,0.9,1.4,0.7,0.8,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6
G,Saben Lee,1037,2020_21,2.1,4.4,0.2,0.5,1.9,3.9,1.3,1.9,0.4,1.6,2.0,3.6,0.7,0.3,1.1,1.6
